query,cluster,intent,priority,landing,notes
gnature,brand,trans,high,/,
g nature,brand,trans,high,/,пробел в запросе
gnature краска,brand,comm,high,/,
gnature масло,brand,comm,high,/,
gnature купить,brand,comm,high,/,
гнатур,brand,trans,high,/,кириллица
гнатур масло,brand,comm,high,/,
купить гнатур,brand,comm,high,/,
джи натур,brand,trans,medium,/,
джи натуре,brand,trans,low,/,
gnature официальный сайт,brand,trans,high,/,
gnature дилер,brand,comm,high,/dealers,
gnature шоурум,brand,geo,medium,/showroom,
biopin gnature,brand,info,low,/,группа производителя
масло для деревянного фасада,task,comm,high,/tasks/facade,
краска для деревянного дома снаружи,task,comm,high,/tasks/facade,
масло для имитации бруса,task,comm,high,/tasks/facade,
лазурь для деревянного фасада,task,comm,high,/tasks/facade,
укрывная краска по старому дереву,task,comm,medium,/product/460,
масло для забора деревянного,task,comm,medium,/tasks/facade,
террасное масло,task,comm,high,/tasks/terrace,
масло для террасы из лиственницы,task,comm,high,/tasks/terrace,
масло для дпк,task,comm,medium,/product/271,
масло для термодерева,task,comm,medium,/tasks/terrace,
масло для садовой мебели,task,comm,medium,/product/277,
твёрдое масло для пола,task,comm,high,/product/245,
масло с твёрдым воском,task,comm,high,/product/255,конкуренция с Osmo Hartwachsöl
натуральное масло для паркета,task,comm,medium,/product/266,
масло для столешницы,task,comm,high,/product/227,
масло для мебели натуральное,task,comm,high,/product/227,
масло для разделочной доски,task,comm,medium,/product/227,
воск для бани и сауны,task,comm,high,/product/290,
масло для полков,task,comm,medium,/product/290,
лазурь для детской комнаты,task,comm,medium,/product/475,
краска для игрушек din 71,task,comm,low,/product/470,
защита торцов сруба,task,comm,high,/product/860,
грунт масло антисептик,task,comm,high,/product/870,
антисептик для лиственницы,task,comm,medium,/product/875,
gnature 280,sku,comm,high,/product/280,хит фасада
280 wetterschutzol,sku,comm,high,/product/280,
gnature 280 купить,sku,comm,high,/product/280,
245 hartol,sku,comm,high,/product/245,
gnature 245,sku,comm,high,/product/245,
277 terrassenol,sku,comm,high,/product/277,
gnature 277,sku,comm,high,/product/277,
255 hartwachsol,sku,comm,medium,/product/255,
gnature 227,sku,comm,medium,/product/227,
gnature 425,sku,comm,medium,/product/425,
gnature 460,sku,comm,medium,/product/460,
gnature 870,sku,comm,high,/product/870,
870 schutz grund,sku,comm,medium,/product/870,
gnature 875,sku,comm,medium,/product/875,
gnature 275,sku,comm,low,/product/275,яхтный лак
gnature 285 metallic,sku,comm,low,/product/285,
натуральное масло для дерева,benefit,comm,high,/,
льняное масло для фасада,benefit,comm,medium,/tasks/facade,
масло без перешлифовки,benefit,comm,high,/tasks/facade,
паропроницаемое масло для дерева,benefit,info,medium,/,
колеровка масла ral,color,comm,high,/color,
колеровка масла ncs,color,comm,medium,/color,
каталог цветов gnature,color,comm,high,/color,
gnature или osmo,compare,info,high,/compare/osmo,
gnature или biofa,compare,info,high,/compare/biofa,
gnature или pnz,compare,info,medium,/compare/pnz,
gnature или живица,compare,info,medium,/compare/zhivitsa,
gnature или tikkurila,compare,info,medium,/compare/tikkurila,
купить gnature москва,geo,geo,high,/dealers/moscow,
gnature румянцево,geo,geo,medium,/showroom,
gnature санкт-петербург,geo,geo,high,/dealers/spb,
gnature новосибирск,geo,geo,medium,/dealers/nsk,
gnature ижевск,geo,geo,medium,/dealers/izhevsk,drevcolor.ru
как обновить фасад без шлифовки,info,info,high,/knowledge/refinish,
чем покрыть лиственницу на террасе,info,info,high,/knowledge/larch,
нужно ли грунтовать сосну перед маслом,info,info,high,/knowledge/primer,
как выбрать масло для деревянного дома,info,info,high,/knowledge/facade,
чем отличается лазурь от укрывной краски,info,info,medium,/knowledge/lasur-vs-deck,
уход за полом покрытым маслом,info,info,medium,/knowledge/care,
расход масла на м2 фасада,info,info,high,/knowledge/consumption,
