query,cluster,intent,priority,landing,notes
sirca,brand,trans,high,/,латиница бренда
сирка,brand,trans,high,/,кириллица как на lakpro
sirca краска,brand,comm,high,/,
краска сирка,brand,comm,high,/,
краска sirca,brand,comm,high,/,
sirca италия,brand,trans,high,/,
sirca spa,brand,trans,medium,/,
лаки sirca,brand,comm,high,/catalog,
лкм sirca,brand,comm,high,/catalog,
лакокрасочные материалы sirca,brand,comm,high,/catalog,
эмаль sirca,brand,comm,high,/catalog/enamels,
грунт sirca,brand,comm,high,/catalog/primers,
морилка sirca,brand,comm,medium,/catalog/stains,
colorsirca,brand,comm,high,/catalog/polyurethane,линейка цветных ПУ
колор сирка,brand,comm,medium,/catalog/polyurethane,
официальный дилер sirca,brand,comm,high,/,
официальный дистрибьютор sirca,brand,comm,medium,/,Арикон держит запрос
sirca купить,brand,comm,high,/,
купить sirca,brand,comm,high,/,
купить краску sirca,brand,comm,high,/,
сирка купить,brand,comm,high,/,
sirca цена,brand,comm,high,/,цены скрыты у дилеров
полиуретановая эмаль,chemistry,comm,high,/catalog/polyurethane,
полиуретановая эмаль для мебели,chemistry,comm,high,/tasks/furniture,
полиуретановый лак для мебели,chemistry,comm,high,/catalog/polyurethane,
полиуретановый грунт,chemistry,comm,high,/catalog/primers,
полиуретановый грунт для мдф,chemistry,comm,high,/tasks/furniture,
двухкомпонентная полиуретановая эмаль,chemistry,comm,high,/catalog/polyurethane,
тиксотропный полиуретановый грунт,chemistry,comm,medium,/catalog/primers,
акриловый лак для мебели,chemistry,comm,high,/catalog/acrylic,
акриловая эмаль для дерева,chemistry,comm,high,/catalog/acrylic,
акриловый лак нежелтеющий,chemistry,comm,high,/catalog/acrylic,
самогрунтующийся акриловый лак,chemistry,comm,medium,/catalog/acrylic,
водоразбавимый лак для мебели,chemistry,comm,high,/catalog/waterborne,
водная эмаль для мебели,chemistry,comm,high,/catalog/waterborne,
водный грунт для мдф,chemistry,comm,high,/catalog/waterborne,
водоразбавимые лкм для интерьера,chemistry,comm,medium,/catalog/waterborne,
полиэфирный грунт,chemistry,comm,medium,/catalog/polyester,
полиэфирный лак глянцевый,chemistry,comm,medium,/catalog/polyester,
безстирольный полиэфирный грунт,chemistry,comm,low,/catalog/polyester,Polibian130
нитроцеллюлозный лак,chemistry,comm,medium,/catalog/nitro,
нц лак для мебели,chemistry,comm,medium,/catalog/nitro,
уф лак для мебели,chemistry,comm,medium,/catalog/uv,
уф грунт водоразбавимый,chemistry,comm,low,/catalog/uv,
масло для дерева интерьер,chemistry,comm,medium,/catalog/oils,
масло для наружных работ по дереву,chemistry,comm,medium,/catalog/exterior,
эмаль для мебели,product,comm,high,/catalog/enamels,
эмаль для мдф,product,comm,high,/tasks/furniture,
лак для мебели купить,product,comm,high,/catalog/lacquers,
лак для фасадов мебели,product,comm,high,/tasks/kitchens,
грунт для мдф,product,comm,high,/catalog/primers,
грунт изолятор для мдф,product,comm,medium,/catalog/primers,
барьерный грунт,product,comm,medium,/catalog/primers,
морилка для дерева профессиональная,product,comm,medium,/catalog/stains,
морилка водоразбавимая,product,comm,medium,/catalog/stains,
патина для мебели,product,comm,medium,/catalog/effects,
металлизированная патина,product,comm,low,/catalog/effects,
отвердитель для полиуретановой эмали,product,comm,high,/catalog/hardeners,
разбавитель полиуретановый,product,comm,medium,/catalog/hardeners,
пигментная паста для эмали,product,comm,medium,/color,
краска для мебельных фасадов,task,comm,high,/tasks/furniture,
эмаль для кухонных фасадов,task,comm,high,/tasks/kitchens,
покраска мдф эмалью,task,comm,high,/tasks/furniture,
лак для корпусной мебели,task,comm,high,/tasks/furniture,
эмаль для межкомнатных дверей,task,comm,high,/tasks/doors,
лак для дверей шпон,task,comm,medium,/tasks/doors,
краска для деревянных окон,task,comm,high,/tasks/windows,
водная эмаль для деревянных окон,task,comm,high,/tasks/windows,
лкм для деревянного домостроения,task,comm,high,/catalog/exterior,
масло для имитации бруса,task,comm,medium,/catalog/exterior,
краска для деревянного дома снаружи,task,comm,medium,/catalog/exterior,
паркетный лак двухкомпонентный,task,comm,high,/tasks/parquet,
лак для паркета профессиональный,task,comm,high,/tasks/parquet,
эмаль для детской мебели на водной основе,task,comm,high,/tasks/kids,
лак для детской мебели сертификат,task,info,medium,/tasks/kids,
лак для деревянной лестницы износостойкий,task,comm,medium,/tasks/furniture,
эмаль sirca для металла,task,comm,medium,/catalog/metal,
лак для пластика профессиональный,task,comm,medium,/catalog/metal,
краска для стекла профессиональная,task,comm,low,/catalog/glass,
колеровка эмали ral,color,comm,high,/color,
эмаль ral для мебели,color,comm,high,/color,
колеровка ncs эмаль,color,comm,high,/color,
каталог colorsirca,color,comm,high,/color,
колеровка wcp,color,comm,medium,/color,
подбор эмали по образцу,color,comm,high,/color,
веер ral мебельная эмаль,color,info,medium,/color,
спектрофотометр подбор краски,color,info,low,/color,
матовая эмаль для мебели,finish,comm,high,/catalog/enamels,
суперматовая эмаль,finish,comm,medium,/catalog/effects,Zero Gloss
zerogloss,finish,comm,medium,/catalog/effects,
эксимерный лак,finish,comm,low,/catalog/effects,
высокоглянцевая эмаль для фасадов,finish,comm,high,/tasks/kitchens,
глянец 10 эмаль,finish,comm,medium,/product,
эффект велюр мебель,finish,comm,medium,/catalog/effects,VelTouch
эффект бетона на мдф,finish,comm,medium,/catalog/effects,Cemento
краколет для мебели,finish,comm,medium,/catalog/effects,VES2030
декапе мебель,finish,info,medium,/knowledge,
патина орех,finish,comm,low,/catalog/effects,
металлик мебельная эмаль,finish,comm,medium,/catalog/effects,
opp530,sku,comm,high,/product/opp530,
opp530 купить,sku,comm,high,/product/opp530,
opp530g10,sku,comm,high,/product/opp530,
opp053,sku,comm,high,/product/opp053,
opp5e,sku,comm,medium,/product/opp5e,
lpp030,sku,comm,medium,/product/lpp030,
lpp2530,sku,comm,medium,/product/lpp2530,
opu79,sku,comm,high,/product/opu79,
opu79 купить,sku,comm,high,/product/opu79,
opu77,sku,comm,high,/product/opu77,
opu77s,sku,comm,medium,/product/opu77s,
opu57,sku,comm,medium,/product/opu57,
opu60,sku,comm,medium,/product/opu60,
lpu132,sku,comm,medium,/product/lpu132,
lpu002,sku,comm,medium,/product/lpu002,
owpi930,sku,comm,medium,/product/owpi930,
owp330,sku,comm,medium,/product/owp330,
fpp225,sku,comm,high,/product/fpp225,
fpp225 грунт,sku,comm,high,/product/fpp225,
fpp225tix,sku,comm,high,/product/fpp225tix,
fpp230tix,sku,comm,medium,/product/fpp230tix,
fpp26,sku,comm,high,/product/fpp26,
fpu49,sku,comm,high,/product/fpu49,
fpu15,sku,comm,medium,/product/fpu15,
fwpi130,sku,comm,medium,/product/fwpi130,
fwbp430,sku,comm,medium,/product/fwbp430,
ves2030,sku,comm,medium,/product/ves2030,
tintorama,sku,comm,medium,/catalog/stains,
th3 отвердитель,sku,comm,high,/product/th3,
th7 отвердитель,sku,comm,medium,/product/th7,
th23 отвердитель,sku,comm,medium,/product/th23,
th35 отвердитель,sku,comm,low,/product/th35,
th52 отвердитель,sku,comm,medium,/product/th52,
ct7 отвердитель,sku,comm,medium,/product/ct7,
dpu800,sku,comm,medium,/product/dpu800,
дилер sirca москва,geo,geo,high,/dealers/moscow,studio-sirca.ru
купить sirca москва,geo,geo,high,/dealers/moscow,
sirca санкт-петербург,geo,geo,high,/dealers/spb,mv-color.ru
купить sirca спб,geo,geo,high,/dealers/spb,
